,WinXwin,Comp,Talk,Vehicle,Avg. Rank
LRADSCLTM,104.554 (48),97.312 (53),106.555 (24),103.961 (55),45.00
LRADSWSCLDM,114.573 (14),111.503 (11),107.815 (14),116.352 (21),15.00
LRADSWSCLTM,115.722 (12),112.544 (3),108.439 (8),117.426 (18),10.25
LRAAPSesCLDM,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
LRAAPSesCLTM,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
LRAAPSesWSCLDM,113.502 (19),110.359 (19),106.441 (25),115.921 (23),21.50
LRAAPSesWSCLTM,113.829 (15),111.223 (14),106.567 (23),116.976 (19),17.75
LRTAPSisCLDM,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
LRTAPSisCLTM,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
LRTAPSisWSCLDM,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
LRTAPSisWSCLTM,114.655 (13),108.476 (21),108.867 (4),123.514 (9),11.75
LRTCCLDM,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
LRTCCLTM,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
LRTCWSCLDM,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
LRTCWSCLTM,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
LRTDSCLDM,104.757 (46),97.882 (52),106.817 (21),104.894 (52),42.75
LRTDSCLTM,104.757 (46),97.882 (52),106.817 (21),104.894 (52),42.75
LRTDSWSCLDM,122.004 (1),112.972 (2),113.029 (2),123.629 (8),3.25
LRTDSWSCLTM,117.457 (8),110.739 (17),113.095 (1),124.257 (7),8.25
LRTAPSesCLDM,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
LRTAPSesCLTM,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
LRTAPSesWSCLDM,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
LRTAPSesWSCLTM,114.655 (13),108.476 (21),108.867 (4),123.514 (9),11.75
LCAAPSisCLDM,106.403 (32),99.178 (43),100.764 (57),108.800 (45),44.25
LCAAPSisCLTM,105.695 (38),98.990 (45),101.361 (51),110.273 (34),42.00
LCAAPSisWSCLDM,113.543 (18),111.347 (13),107.803 (15),118.792 (17),15.75
LCAAPSisWSCLTM,113.359 (20),110.373 (18),108.142 (12),119.591 (14),16.00
LCADSCLDM,105.801 (36),98.871 (48),103.023 (39),109.752 (35),39.50
LCADSCLTM,105.158 (43),98.982 (46),100.438 (58),109.517 (37),46.00
LCADSWSCLDM,113.726 (16),111.932 (6),107.867 (13),119.462 (16),12.75
LCADSWSCLTM,113.321 (21),111.798 (9),108.816 (6),120.334 (13),12.25
LCAAPSesCLDM,106.403 (32),99.178 (43),100.764 (57),108.800 (45),44.25
LCAAPSesCLTM,105.695 (38),98.990 (45),101.361 (51),110.273 (34),42.00
LCAAPSesWSCLDM,113.543 (18),111.347 (13),107.803 (15),118.792 (17),15.75
LCAAPSesWSCLTM,113.359 (20),110.373 (18),108.142 (12),119.591 (14),16.00
LCTAPSisCLDM,105.115 (44),98.557 (49),99.758 (61),108.954 (43),49.25
LCTAPSisCLTM,104.402 (49),99.100 (44),100.814 (56),109.171 (39),47.00
LCTAPSisWSCLDM,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
LCTAPSisWSCLTM,118.083 (7),110.955 (15),108.692 (7),124.798 (6),8.75
LCTCCLDM,109.482 (26),101.852 (34),102.566 (42),112.005 (29),32.75
LCTCCLTM,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
LCTCWSCLDM,119.022 (3),112.073 (4),106.205 (27),125.223 (3),9.25
LCTCWSCLTM,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
LCTDSCLDM,105.203 (40),98.243 (51),101.624 (47),109.668 (36),43.50
LCTDSCLTM,104.186 (50),99.202 (42),101.410 (49),109.113 (40),45.25
LCTDSWSCLDM,118.433 (5),111.801 (8),108.324 (10),125.126 (4),6.75
LCTDSWSCLTM,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
LCTAPSesCLDM,105.115 (44),98.557 (49),99.758 (61),108.954 (43),49.25
LCTAPSesCLTM,104.402 (49),99.100 (44),100.814 (56),109.171 (39),47.00
LCTAPSesWSCLDM,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
LCTAPSesWSCLTM,118.083 (7),110.955 (15),108.692 (7),124.798 (6),8.75
LL+RTAPSisWSCLDM,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
LL+RTCCLTM,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
LL+RTCWSCLTM,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
LL+RTDSWSCLTM,117.457 (8),110.739 (17),113.095 (1),124.257 (7),8.25
LL+CTAPSisWSCLDM,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
LL+CTCCLTM,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
LL+CTCWSCLTM,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
LL+CTDSWSCLTM,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
LR+CTAPSisWSCLDM,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
LR+CTCCLTM,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
LR+CTCWSCLTM,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
LR+CTDSWSCLTM,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
LL+R+CTAPSisWSCLDM,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
LL+R+CTCCLTM,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
LL+R+CTCWSCLTM,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
LL+R+CTDSWSCLTM,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
