,Comp,Vehicle,breathalyzer,haberman,dermatology,Avg. Rank
Local Coverage Average All-Pairs Similarity (excl source) Cross-Label Total Minimization,98.990 (45),110.273 (34),32.925 (43),22.217 (53),30.368 (10),37.00
Local Coverage Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,111.347 (13),118.792 (17),38.492 (6),24.106 (49),24.778 (32),23.40
Local Coverage Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,110.373 (18),119.591 (14),37.139 (14),23.899 (50),24.805 (31),25.40
Local Coverage Total All-Pairs Similarity (incl source) Cross-Label Deviation Minimization,98.557 (49),108.954 (43),32.891 (45),21.296 (60),30.723 (5),40.40
Local Coverage Total All-Pairs Similarity (incl source) Cross-Label Total Minimization,99.100 (44),109.171 (39),33.386 (36),21.317 (59),30.584 (8),37.20
Local Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,111.969 (5),125.481 (1),37.016 (15),24.419 (45),24.811 (30),19.20
Local Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Total Minimization,110.955 (15),124.798 (6),37.160 (13),23.899 (50),24.752 (33),23.40
Local Coverage Total Counting Cross-Label Deviation Minimization,101.852 (34),112.005 (29),34.110 (32),21.787 (58),30.802 (4),31.40
Local Coverage Total Counting Cross-Label Total Minimization,98.942 (47),108.981 (42),35.427 (25),22.374 (52),31.052 (1),33.40
Local Coverage Total Counting (With Sparsity) Cross-Label Deviation Minimization,112.073 (4),125.223 (3),38.502 (5),24.209 (47),24.811 (30),17.80
Local Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,111.477 (12),125.258 (2),36.234 (17),23.899 (50),24.742 (34),23.00
Local Coverage Total Direct Similarity Cross-Label Deviation Minimization,98.243 (51),109.668 (36),33.159 (38),21.118 (61),30.679 (6),38.40
Local Coverage Total Direct Similarity Cross-Label Total Minimization,99.202 (42),109.113 (40),33.954 (33),21.317 (59),30.660 (7),36.20
Local Coverage Total Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,111.801 (8),125.126 (4),37.214 (11),24.467 (44),24.825 (28),19.00
Local Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,110.876 (16),124.826 (5),36.887 (16),23.899 (50),24.752 (33),24.00
Local Coverage Total All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,98.557 (49),108.954 (43),32.891 (45),21.296 (60),30.723 (5),40.40
Local Coverage Total All-Pairs Similarity (excl source) Cross-Label Total Minimization,99.100 (44),109.171 (39),33.386 (36),21.317 (59),30.584 (8),37.20
Local Coverage Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,111.969 (5),125.481 (1),37.016 (15),24.419 (45),24.811 (30),19.20
Local Coverage Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,110.955 (15),124.798 (6),37.160 (13),23.899 (50),24.752 (33),23.40
Local Liability + Reachability Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,109.631 (20),123.276 (10),33.291 (37),27.228 (31),25.910 (25),24.60
Local Liability + Reachability Total Counting Cross-Label Total Minimization,104.740 (33),114.028 (25),35.627 (22),29.329 (3),31.015 (2),17.00
Local Liability + Reachability Total Counting (With Sparsity) Cross-Label Total Minimization,111.581 (10),122.300 (12),38.000 (8),28.321 (14),23.648 (39),16.60
Local Liability + Reachability Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,110.739 (17),124.257 (7),35.671 (20),28.756 (10),29.583 (14),13.60
Local Liability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,111.969 (5),125.481 (1),37.016 (15),24.419 (45),24.811 (30),19.20
Local Liability + Coverage Total Counting Cross-Label Total Minimization,98.942 (47),108.981 (42),35.427 (25),22.374 (52),31.052 (1),33.40
Local Liability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,111.477 (12),125.258 (2),36.234 (17),23.899 (50),24.742 (34),23.00
Local Liability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,110.876 (16),124.826 (5),36.887 (16),23.899 (50),24.752 (33),24.00
Local Reachability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,111.969 (5),125.481 (1),37.016 (15),24.419 (45),24.811 (30),19.20
Local Reachability + Coverage Total Counting Cross-Label Total Minimization,98.942 (47),108.981 (42),35.427 (25),22.374 (52),31.052 (1),33.40
Local Reachability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,111.477 (12),125.258 (2),36.234 (17),23.899 (50),24.742 (34),23.00
Local Reachability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,110.876 (16),124.826 (5),36.887 (16),23.899 (50),24.752 (33),24.00
Local Liability + Reachability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,111.969 (5),125.481 (1),37.016 (15),24.419 (45),24.811 (30),19.20
Local Liability + Reachability + Coverage Total Counting Cross-Label Total Minimization,98.942 (47),108.981 (42),35.427 (25),22.374 (52),31.052 (1),33.40
Local Liability + Reachability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,111.477 (12),125.258 (2),36.234 (17),23.899 (50),24.742 (34),23.00
Local Liability + Reachability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,110.876 (16),124.826 (5),36.887 (16),23.899 (50),24.752 (33),24.00
